ip_proto,port_src,port_dst,size_pkt1,size_pkt2,size_pkt3,size_pkt4,size_pkt5,size_pkt6,size_pkt7,tot_size,Elephant
17,7000,7001,108,94,190,1486,1486,1486,1486,752697942,1
17,7000,7001,1486,1486,1486,1486,1486,1486,1486,456050709,1
17,7001,7000,86,107,107,86,107,102,108,48784133,1
17,7001,7000,102,108,108,109,109,111,108,240028125,1
17,7000,7001,1486,1486,1486,1486,1486,1486,1486,389538179,1
17,7001,7000,102,108,108,109,109,111,108,201974804,1
17,7001,7000,90,107,1486,102,1486,1486,1486,184257692,1
17,7000,7001,94,108,107,107,107,107,107,327691757,1
17,7001,7000,86,108,108,108,108,108,108,150950720,1
17,7000,7001,108,74,107,107,74,107,118,340457054,1
17,7000,7001,86,1486,1486,1486,190,190,190,250310805,1
17,7001,7000,102,108,108,109,109,108,109,131749575,1
17,7000,7001,1486,1486,1486,1486,1486,1486,1486,242602750,1
17,7001,7000,90,107,102,108,108,109,109,131039551,1
17,7001,7000,102,108,108,109,109,107,108,141483659,1
17,7001,7000,102,108,108,109,109,109,109,122049361,1
17,7000,7001,1486,1486,1486,1486,1486,1486,1486,221952081,1
17,7001,7000,70,108,108,108,108,108,108,129150411,1
17,7000,7001,94,1486,1486,1486,1486,1486,1486,215040772,1
17,7001,7000,102,108,108,109,109,107,108,125366846,1
17,7000,7001,1486,1486,1486,1486,1486,1486,1486,204239193,1
17,7001,7000,107,123,107,154,86,107,107,124738336,1
17,7000,7001,94,107,74,107,190,190,190,207158566,1
17,7001,7000,70,102,108,108,108,86,107,130074307,1
17,7000,7001,1486,1486,1486,1486,1486,1486,1486,201218805,1
17,7001,7000,107,108,108,108,108,108,108,106663695,1
17,7000,7001,1486,1486,1486,1486,1486,1486,1486,195633780,1
17,7001,7000,102,108,108,109,109,109,109,112581806,1
17,7000,7001,107,86,190,190,190,190,1486,196423577,1
17,7001,7000,102,108,108,108,108,108,108,112589294,1
17,7001,7000,102,108,108,109,109,107,108,116227840,1
17,7000,7001,70,190,190,1486,1486,1486,1486,196569592,1
17,7000,7001,107,1486,1486,1486,1486,1486,1486,189807556,1
17,7000,7001,1486,1486,1486,1486,1486,1486,1486,178825521,1
17,7000,7001,190,86,74,190,190,190,190,182484830,1
17,7001,7000,136,133,109,107,108,116,112,110096031,1
17,7000,7001,190,107,190,190,190,190,190,183104185,1
17,7001,7000,74,107,108,510,510,70,107,18284279,1
17,7000,7001,94,108,107,107,107,107,108,174726148,1
17,7001,7000,102,108,108,108,108,108,108,98232307,1
17,7000,7001,190,1486,1486,1486,1486,1486,1486,232007664,1
17,7001,7000,107,108,108,108,108,108,107,95179734,1
17,7000,7001,190,1486,1486,1486,1486,1486,1486,226159459,1
17,7000,7001,107,262,190,190,190,190,190,156963334,1
17,7000,7001,107,74,107,190,94,108,107,153406560,1
17,7000,7001,86,190,94,107,190,1486,1486,138412730,1
17,7001,7000,107,108,108,108,108,108,108,77344668,1
17,7000,7001,190,1486,1486,1486,1486,1486,540,198156252,1
17,7000,7001,190,1486,1486,1486,1486,1268,190,194689502,1
17,7000,7001,190,1486,1486,1486,1486,1486,1486,190670316,1
17,7001,7000,102,108,108,109,109,107,108,78539057,1
17,7001,7000,108,108,108,108,107,108,108,80229723,1
17,7001,7000,86,365,510,107,86,107,86,76339235,1
17,7001,7000,286,107,286,107,286,107,286,143767847,1
17,7000,7001,1486,1486,1486,1486,1486,1486,1486,140199607,1
17,7001,7000,86,107,102,108,108,108,108,13833415,1
17,7000,7001,86,74,107,190,190,190,262,139252548,1
17,7001,7000,107,108,108,108,108,86,107,81076208,1
17,7000,7001,190,1486,1486,1486,1486,1486,1486,178633502,1
17,7000,7001,1486,1486,1486,1486,1486,1486,1486,127891991,1
17,7000,7001,94,1486,1486,1486,1486,1486,1486,134717161,1
17,7001,7000,86,107,102,108,108,109,109,12899043,1
17,7000,7001,190,190,190,190,1486,1486,1462,123181846,1
17,7001,7000,90,107,102,108,108,109,109,58604537,1
17,7001,7000,86,107,510,107,86,107,86,80230503,1
